Artist,Song
Glass Animals,Heat Waves
Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast,We Don't Talk About Bruno
Kodak Black,Super Gremlin
GAYLE,abcdefu
The Kid LAROI & Justin Bieber,Stay
Adele,Easy On Me
Justin Bieber,Ghost
Ed Sheeran,Bad Habits
Ed Sheeran,Shivers
Lil Nas X,Thats What I Want
Elton John & Dua Lipa,Cold Heart (PNAU Remix)
Imagine Dragons X JID,Enemy
Doja Cat,Need To Know
Latto,Big Energy
Doja Cat,Woman
Dua Lipa,Levitating
The Weeknd & Ariana Grande,Save Your Tears
Gunna & Future Featuring Young Thug,Pushin P
Lil Nas X & Jack Harlow,Industry Baby
Jessica Darrow,Surface Pressure
Post Malone & The Weeknd,One Right Now
SZA,I Hate U
Camila Cabello Featuring Ed Sheeran,Bam Bam
Muni Long,Hrs And Hrs
Cody Johnson,'Til You Can't
Becky G X Karol G,MAMIII
Charlie Puth,Light Switch
Jordan Davis Featuring Luke Bryan,Buy Dirt
Doja Cat & The Weeknd,You Right
Walker Hayes,Fancy Like
Olivia Rodrigo,Good 4 U
CKay,Love Nwantiti (Ah Ah Ah)
Morgan Wallen,Sand In My Boots
Lil Durk,Ahhh Ha
Lauren Spencer-Smith,Fingers Crossed
Stephanie Beatriz, Olga Merediz & Encanto Cast,The Family Madrigal
Luke Combs,Doin' This
Drake Featuring 21 Savage & Project Pat,Knife Talk
Wizkid Featuring Justin Bieber & Tems,Essence
Dierks Bentley, Breland & HARDY,Beers On Me
Parker McCollum,To Be Loved By You
Dove Cameron,Boyfriend
Walker Hayes,AA
Chris Stapleton,You Should Probably Leave
Cole Swindell / Lainey Wilson,Never Say Never
Kane Brown,One Mississippi
Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home)
Em Beihold,Numb Little Bug
Tate McRae,She's All I Wanna Be
THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot
Diane Guerrero & Stephanie Beatriz,What Else Can I Do?
Thomas Rhett,Slow Down Summer
Labrinth & Zendaya,I'm Tired
Nicki Minaj X Lil Baby,Do We Have A Problem?
Jack Harlow,Nail Tech
The Weeknd,Sacrifice
Fireboy DML & Ed Sheeran,Peru
Sebastian Yatra,Dos Oruguitas
Sam Hunt,23
Russ Featuring Ktlyn,Handsomer
King Von & 21 Savage,Don't Play That
Lil Durk Featuring Morgan Wallen,Broadway Girls
Kelsea Ballerini Featuring Kenny Chesney,Half Of My Hometown
Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window
Maren Morris,Circles Around This Town
Nardo Wick, Lil Baby & Future,Me Or Sum
Tyga X Doja Cat,Freaky Deaky
Eric Church,Heart On Fire
Yung Bleu & Kehlani,Beautiful Lies
Ari Lennox,Pressure
Tiesto & Ava Max,The Motto
Gucci Mane,Publicity Stunt
King Von,War
Miranda Lambert,If I Was A Cowboy
Gunna Featuring Drake,P Power
The Chainsmokers,High
Lil Shordie Scott,Rocking A Cardigan In Atlanta
Carly Pearce & Ashley McBryde,Never Wanted To Be That Girl
Gucci Mane Featuring Lil Durk,Rumors
Gunna,Banking On Me
YoungBoy Never Broke Again,I Hate YoungBoy
Machine Gun Kelly & Lil Wayne,Ay!
Stephanie Beatriz,Waiting On A Miracle
Adele,Oh My God
The Walters,I Love You So
Rod Wave,By Your Side
JNR CHOI & Sam Tompkins,To The Moon!
ERNEST Featuring Morgan Wallen,Flower Shops
DaBaby & YoungBoy Never Broke Again,Neighborhood Superstar
Fivio Foreign, Kanye West & Alicia Keys,City Of Gods
HARDY,Give Heaven Some Hell
King Von Featuring G Herbo,Facetime
King Von Featuring Fivio Foreign,Straight To It
Juice WRLD,Cigarettes
Acraze Featuring Cherish,Do It To It
King Von & Lil Durk,Evil Twins
King Von Featuring Moneybagg Yo,Trust Nothing
Chris Brown,Iffy
Saweetie Featuring H.E.R.,Closer
Alesso / Katy Perry,When I'm Gone
