track,artist,album,id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Everybody (Backstreet's Back) - Radio Edit,Various Artists,This Is The End: Original Motion Picture Soundtrack,4rTeOSYqwXNz5qPR2DUTFZ,0.735,0.873,10,-3.493,0,0.0402,3.27e-06,0.265,0.586,108.021,224960,4
U Can't Touch This,MC Hammer,Please Hammer Don't Hurt 'Em,1B75hgRqe7A4fwee3g3Wmu,0.867,0.517,11,-13.222,0,0.0875,0.000339,0.0864,0.866,133.148,257360,4
Black or White,Michael Jackson,Dangerous,7EsjkelQuoUlJXEw7SeVV4,0.518,0.901,9,-3.749,1,0.093,0.0314,0.0712,0.873,115.026,254933,4
Gangsta's Paradise,Coolio,Gangsta's Paradise,1DIXPcTDzTj8ZMHt3PDt8p,0.647,0.514,8,-10.05,1,0.0593,0.0,0.398,0.386,79.975,240693,4
MMMBop,Hanson,Middle Of Nowhere,0lnxrQAd9ZxbhBBe7d8FO8,0.683,0.937,9,-6.335,1,0.0449,0.0046,0.07,0.619,104.872,268653,4
Barbie Girl,Aqua,Aquarium,2RSOzvKUnfDDrb2nQPfpQU,0.81,0.957,1,-6.049,0,0.0364,0.284,0.248,0.962,129.985,197773,4
Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),5ghIJDpPoe3CfHMGu71E6T,0.502,0.912,1,-4.556,1,0.0564,0.000173,0.106,0.72,116.761,301920,4
More Than Words,Extreme,Extreme II - Pornograffitti,1gVgkQFOKa8Wc1HYsJtPdH,0.626,0.134,6,-14.898,1,0.0298,0.0,0.113,0.239,91.893,334107,4
The Sign,Ace of Base,The Sign,0hrBpAOgrt8RXigk83LLNE,0.808,0.786,4,-6.897,0,0.0447,0.0701,0.0574,0.899,96.987,191240,4
I Swear,All-4-One,All-4-One,4WUnM4KNZ0kjp0CUeoyOnS,0.532,0.407,6,-9.658,0,0.0233,0.0,0.117,0.23,83.207,259853,4
...Baby One More Time,Britney Spears,...Baby One More Time (Digital Deluxe Version),3MjUtNVVq3C8Fn0MP3zhXa,0.759,0.699,0,-5.745,0,0.0307,0.000131,0.443,0.907,92.96,211067,4
Man! I Feel Like A Woman!,Shania Twain,Come On Over,6sxptembJVty4sNtcPMAVz,0.657,0.639,10,-7.527,1,0.0412,0.0,0.278,0.674,124.882,234493,4
(Everything I Do) I Do It For You,Bryan Adams,Waking Up The Neighbours,6eBK3edMW7bEzecF1eCezc,0.526,0.365,1,-12.605,1,0.028,1.35e-05,0.0618,0.253,131.253,394133,4
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),3d9DChrdc6BOeFsbrZ3Is0,0.559,0.345,4,-13.496,1,0.0459,0.000105,0.141,0.458,84.581,264307,4
Mysterious Girl - Radio Edit,Various Artists,90-tal,6Y3lJ2VwukbHOH9zCDi6zj,0.656,0.828,10,-4.244,0,0.207,0.0,0.247,0.801,171.976,218733,4
To Be With You - 2021 Remastered,Mr. Big,Lean Into It (30th Anniversary Edition),0eifvmNPHWaSh4IKNR4Xva,0.688,0.284,4,-13.577,1,0.0574,0.0,0.127,0.482,83.433,208080,4
Zombie,The Cranberries,No Need To Argue (The Complete Sessions 1994-1995),7EZC6E7UjZe63f1jRmkWxt,0.309,0.649,7,-8.994,1,0.035,0.00591,0.367,0.312,166.915,306440,4
